country,marriage_status,percentage
Finland,Separated,0.4685408299866131
Finland,Widowed,8.165997322623829
France,Divorced,3.254769921436588
France,In a civil partnership,3.6475869809203134
France,Living with a partner,11.447811447811448
France,Married,59.31537598204265
France,Never been married,18.181818181818183
France,Separated,1.4590347923681255
France,Widowed,2.6936026936026933
Germany,Divorced,2.8662420382165608
Germany,In a civil partnership,2.4112829845313923
Germany,Living with a partner,15.286624203821656
Germany,Married,60.509554140127385
Germany,Never been married,15.059144676979072
Germany,Separated,1.0919017288444042
Germany,Widowed,2.775250227479527
Ireland,Divorced,3.355704697986577
Ireland,In a civil partnership,4.161073825503356
Ireland,Living with a partner,10.268456375838928
Ireland,Married,59.19463087248322
Ireland,Never been married,18.859060402684563
Ireland,Separated,1.6778523489932886
Ireland,Widowed,2.4832214765100677
Italy,Divorced,3.611111111111111
Italy,In a civil partnership,4.777777777777778
Italy,Living with a partner,9.722222222222223
Italy,Married,62.33333333333333
Italy,Never been married,15.222222222222223
Italy,Separated,1.8333333333333333
Italy,Widowed,2.5
Netherlands,Divorced,10.268456375838928
Netherlands,In a civil partnership,3.624161073825504
Netherlands,Living with a partner,8.456375838926174
Netherlands,Married,44.0268456375839
Netherlands,Never been married,21.409395973154364
Netherlands,Separated,1.74496644295302
Netherlands,Widowed,10.46979865771812
Norway,Divorced,8.344549125168237
Norway,In a civil partnership,3.768506056527591
Norway,Living with a partner,9.488559892328398
Norway,Married,48.25033647375505
Norway,Never been married,20.524899057873487
Norway,Separated,1.1440107671601614
Norway,Widowed,8.47913862718708
Portugal,Divorced,6.908115358819584
Portugal,In a civil partnership,10.999329309188465
Portugal,Living with a partner,0.8718980549966466
Portugal,Married,50.30181086519114
Portugal,Never been married,24.413145539906104
Portugal,Separated,1.6096579476861168
Portugal,Widowed,4.896042924211938
Slovak Republic,Divorced,7.307171853856563
Slovak Republic,In a civil partnership,1.0148849797023003
Slovak Republic,Living with a partner,8.660351826792963
Slovak Republic,Married,41.40730717185386
Slovak Republic,Never been married,33.22056833558864
Slovak Republic,Separated,1.0825439783491204
Slovak Republic,Widowed,7.307171853856563
Spain,Divorced,6.237424547283702
Spain,In a civil partnership,4.560697518443997
Spain,Living with a partner,9.859154929577464
Spain,Married,51.44198524480215
Spain,Never been married,19.3158953722334
Spain,Separated,2.2132796780684103
Spain,Widowed,6.371562709590879
Sweden,Divorced,8.384043272481406
Sweden,In a civil partnership,0.676132521974307
Sweden,Living with a partner,17.173766058147397
Sweden,Married,45.30087897227857
Sweden,Never been married,18.255578093306287
Sweden,Separated,4.056795131845842
Sweden,Widowed,6.152805949966194
Switzerland,Divorced,2.433234421364985
Switzerland,In a civil partnership,5.816023738872404
Switzerland,Living with a partner,15.845697329376854
Switzerland,Married,61.89910979228487
Switzerland,Never been married,10.919881305637984
Switzerland,Separated,1.0089020771513353
Switzerland,Widowed,2.0771513353115725
United Kingdom,Divorced,3.259098316132537
United Kingdom,In a civil partnership,4.562737642585551
United Kingdom,Living with a partner,14.44866920152091
United Kingdom,Married,62.03150461705594
United Kingdom,Never been married,12.656165127648016
United Kingdom,Separated,0.7604562737642585
United Kingdom,Widowed,2.281368821292776
