QRID,weight,SurveyPublic,DEMONYM,Q1,Q2a,Q2b,Q2c,Q2d,Q3,Q4,QLEGAL,Q5a,Q5b,Q5c,Q5d,QCURREL,Q6a,Q6b,Q6c,Q6d,Q6e,Q6f,QBORN,Q7a,Q7b,Q7c,Q7d,Q7e,Q8a,Q8b,Q8c,Q8d,Q8e,Q8f,Q8g,Q8h,Q8i,Q8j,Q8k,Q9,Q10,Q11,Q12,QCHREL,Q13,Q14,Q15a,Q15b,Q15c,Q15d,QFIGURESa,QFIGURESb,QFIGURESc,QFIGURESd,QFIGURESe,QFIGURESf,QFIGURESg,QFIGURESh,QFIGURESi,Q16_1,Q16_2,Q16_3,Q16_98,Q16_99,Q17,Q18,Q19,Q20a,Q20b,Q21,Q22a,Q22b,Q22c,Q22d,Q23,Q24a,Q24b,Q24c,Q24d,Q25a,Q25b,Q25c,Q26a,Q26b,Q27a,Q27b,Q27c,Q27d,Q27e,Q27f,Q27g,Q27h,Q27i,Q28,Q29,Q30,Q31,Q33,Q35,Q36,Q37,Q38a,Q38b,Q38c,Q39a,Q39b,Q39c,Q39d,QABORT,Q40a,Q40b,Q40c,Q40d,Q40e,QATTEND,QAGE,QAGE_NRHKG,QAGE_NRJPN,QAGE_NRKOR,QAGE_NRTWNrec,QAGE_NRVNM,QETHHKG,QETHTWN,QETHVNM,QFERT,QHH1,QHH2,Q41,QMARRIED,QEDUHKG,QEDUJPN,QEDUKOR,QEDUTWN,QEDUVNM,CHURCHEDUa,CHURCHEDUb,QPTYJPN,QPTYTWN,Q50,Q51,QZIPHKG,QZIPHKG2,QZIPJPN2,QZIPKOR,QZIPTWN,VietnamRegion,GenderRec,Language,ISCED,UrbanVietnam
1300246,.600227857107548,1,1,3,3,3,3,3,2,3,3,1,2,2,1,1,1,2, ,2,2,1, ,2,2,1,1,1,2,2,2,1,1,2,1,1,1,2,1,1,1,1,2,7, ,3,1,1,2,1,2,1,2,2,2,1,2, ,2,1,1,2,2,2,2,2,1,1,2,3,1,1,1,1,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,1,4,1,3,3,2,4,4,2,4, ,42, , , , , ,1, , ,2, ,4,1,1,7, , , , ,1,2, , , ,1,11,3, , , , ,2,1,5, 
1300264,.50103429666805,1,1,1,3,3,3,3,2,3,1,2,1,1,2,2,2,2, ,2,2,1,2,2,2,1,1,1, , , , , , , , , , , ,1,1,1,1,2, ,3,2,2,2,2,2,2,2,2,1,2,2, ,2,1,2,2,2,2,1,4,2, , , ,1,1,1,1,2,1,2,2,2,1,2,2,5,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,2,1,2,2,2,1,3,1,3,1,1,4,4,4,4,5,42, , , , , ,98, , ,0, ,1,3,4,4, , , , ,1,2, , , ,1,13,3, , , , ,1,1,3, 
1300311,.613570797232678,1,1,3,3,3,3,3,2,1,3,2,2,3,2,8,2,2, ,2,2,2, ,2,2,1,1,1, , , , , , , , , , , ,3,1,1,2,8, ,3,2,2,2,2,2,2,2,2,2,2,2, ,2,1,2,2,2,2,2,2,2, , , ,2,2,2,2,2,2,2,2,2,1,1,2,3,4,1,1,1,1,1,1,1,1,1,7,2,1,2,2,2,1,1,2,2,2,2,2,2,3,3,2,3,3,3,4, ,52, , , , , ,1, , ,2, ,2,3,1,4, , , , ,1,2, , , ,1,11,3, , , , ,2,1,3, 
1300323,.337800771635058,1,1,3,3,3,3,3,2,3,3,1,1,1,1,2,2,1, ,2,2,2,1,2,2,2,1,1, , , , , , , , , , , ,1,1,1,1,2, ,1,2,2,1,2,2,2,2,2,1,2,2, ,2,1,2,2,2,2,2,3,2, , , ,2,1,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,1,1,1,2,1,2,1,2,2,2,2,1,2,2,2,1,4,1,4,2,1,4,4,4,4,2,68, , , , , ,1, , ,2, ,2,3,1,4, , , , ,2,2, , , ,1,15,3, , , , ,2,1,3, 
1300390,.772128348108676,1,1,2,3,3,1,3,2,3,4,1,3,3,3,5,2,2, ,1,2,1, ,2,2,1,1,1, , , , , , , , , , , ,3,1,1,2,5, ,3,1,1,2,2,2,2,2,1,2,1,1, ,2,1,2,2,2,2,2,2,1,2,1,2,1,1,1,1,1,1,2,1,2,2,2,2,1,1,1,1,1,1,1,1,2,1,1,6,1,1,2,1,2,2,1,2,2,1,2,3,2,2,2,3,2,1,1,3, ,51, , , , , ,1, , ,2, ,4,1,1,4, , , , ,2,2, , , ,1,9,2, , , , ,1,1,3, 
1300466,.456923841718364,1,1,1,3,3,3,3,2,1,2,1,1,1,1,8,2,2, ,2,2,2, ,2,2,1,1,1, , , , , , , , , , , ,3,1,1,2,2, ,3,2,1,2,2,2,2,2,2,2,2,2, ,2,1,2,2,2,2,2,2,2, , , ,2,2,2,2,2,1,2,2,2,2,2,2,5,5,2,1,1,2,2,2,2,2,2,7,2,1,1,2,2,2,2,1,2,2,2,3,2,4,3,2,4,2,2,3, ,67, , , , , ,1, , ,1, ,5,2,1,4, , , , ,1,2, , , ,1,11,3, , , , ,2,1,3, 
1300470,.407708841572159,1,1,1,3,3,3,3,2,3,4,3,3,3,3,8,2,2, ,2,2,98, ,2,2,2,1,2, , , , , , , , , , , ,4,2,1,2,2, ,3,2,2,2,2,2,2,2,2,2,2,2, ,2,1,2,2,2,2,2,2,2, , , ,2,1,1,2,2,2,2,2,2,2,2,2,4,5,2,1,2,2,1,1,2,2,2,7,2,1,2,2,2,1,1,2,2,1,1,4,1,3,2,1,4,3,3,4, ,66, , , , , ,1, , ,3, ,3,1,1,4, , , , ,1,2, , , ,1,2,1, , , , ,1,1,3, 
1300479,.821225261407654,1,1,3,3,3,3,3,2,1,3,1,2,2,2,2,98,1, ,98,98,1,1,1,98,1,1,1, , , , , , , , , , , ,1,1,2,2,2, ,3,2,2,1,2,2,2,1,2,1,2,2, ,2,1,1,2,2,2,2,1,2, , , ,1,1,2,2,1,1,2,2,2,2,2,2,1,2,2,1,1,1,1,1,1,1,1,2,2,3,2,2,1,2,1,2,2,2,2,4,1,3,3,2,3,2,2,4,3,45, , , , , ,1, , ,0, ,4,2,4,7, , , , ,1,2, , , ,1,1,1, , , , ,2,1,5, 
1300502,.713122772986084,1,1,3,3,3,2,3,2,3,3,3,3,2,2,2,2,1, ,2,2,2,1,2,2,1,1,1, , , , , , , , , , , ,1,1,1,1,7, ,3,2,2,1,2,2,2,2,2,1,2,2, ,2,1,1,2,2,2,2,1,2, , , ,2,1,2,2,2,2,2,2,2,2,2,2,1,3,2,98,2,98,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,2,4,1,3,98,2,3,3,2,3,5,42, , , , , ,1, , ,0, ,5,1,4,4, , , , ,1,2, , , ,1,10,3, , , , ,2,1,3, 
1300509,.588254022332634,1,1,1,3,3,3,3,2,1,4,2,2,2,1,2,1,1, ,1,2,1,1,2,2,1,1,1, , , , , , , , , , , ,1,1,1,2,1, ,3,2,1,2,2,2,1,2,2,2,1,2, ,2,1,2,2,2,2,2,1,2, , , ,1,1,1,1,1,1,2,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,2,2,2,2,2,1,4,2,2,3,3,3,3,6,60, , , , , ,1, , ,0, ,3,1,1,7, , , , ,2,2, , , ,1,3,1, , , , ,1,1,5, 
1300519,.623802957095997,1,1,3,3,3,3,3,2,3,2,2,2,2,1,2,2,1, ,2,2,2,2,2,2,1,2,1, , , , , , , , , , , ,2,1,1,1,2, ,1,2,2,1,2,2,2,2,2,1,2,2, ,2,1,1,2,2,2,3,2,2, , , ,2,1,2,2,1,1,2,2,2,1,2,2,4,1,2,1,1,2,1,1,1,1,1,3,2,1,2,2,2,2,1,2,2,2,2,2,2,2,3,2,4,4,3,4,6,18, , , , , ,1, , ,0, ,4,2,4,4, , , , ,1,2, , , ,1,10,3, , , , ,2,1,3, 
1300521,.671625920611372,1,1,3,3,3,3,3,2,3,1,2,1,2,1,8,1,2, ,1,2,2, ,2,1,1,1,1, , , , , , , , , , , ,3,2,1,2,1, ,1,2,2,2,2,2,1,2,2,2,1,1, ,2,1,2,2,2,2,2,2,2, , , ,1,1,1,1,2,2,2,2,2,2,2,2,5,4,1,1,1,1,1,1,1,1,1,6,1,1,2,2,2,2,1,1,1,1,2,2,2,3,3,2,3,3,2,4, ,30, , , , , ,1, , ,0, ,2,3,4,7, , , , ,1,2, , , ,1,7,2, , , , ,1,1,5, 
1300547,.489713582233587,1,1,2,1,1,1,3,1,3,4,2,2,3,3,8,1,98, ,1,2,2, ,1,2,1,1,1, , , , , , , , , , , ,3,1,1,2,8, ,3,2,2,2,2,2,1,2,2,2,2,2, ,2,1,2,2,2,2,2,2,1,1,1,4,2,2,1,2,2,1,1,2,2,2,2,2,5,5,2,1,2,2,2,2,2,2,2,7,1,2,2,2,2,2,1,2,2,2,3,3,2,3,3,2,3,3,2,3, ,70, , , , , ,1, , ,99, ,2,1,1,99, , , , ,2,2, , , ,1,16,3, , , , ,1,1,99, 
1300554,.296576292600112,1,1,98,3,3,3,3,2,3,4,3,3,2,3,2,2,2, ,2,2,2,2,2,2,98,2,2, , , , , , , , , , , ,3,2,1,2,8, ,3,2,2,2,2,2,2,2,2,2,2,2, ,2,2,1,2,2,2, ,2,2, , , ,2,2,2,2,2,2,2,2,2,2,2,2,5,5,98,1,2,1,2,2,2,2,2,7,2,3,2,2,1,2,1,98,98,98,2,3,2,2,2,2,3,98,2,2,5,79, , , , , ,1, , ,1, ,1,3,5,4, , , , ,2,2, , , ,1,11,3, , , , ,2,1,3, 
1300723,.58241451354322,1,1,3,3,2,3,3,2,3,2,1,2,1,1,2,2,1, ,2,1,1,2,1,2,1,1,1, , , , , , , , , , , ,2,1,1,2,2, ,3,2,1,1,2,2,2,2,2,1,2,2, ,2,1,2,2,2,2,3,2,2, , , ,2,1,2,2,2,1,2,2,2,2,2,2,3,3,1,1,1,1,1,1,1,1,1,4,2,1,1,2,2,2,1,2,2,2,1,3,1,3,3,2,4,4,2,4,3,60, , , , , ,1, , ,0, ,2,1,4,8, , , , ,1,2, , , ,1,3,1, , , , ,2,1,5, 
1300875,3.20811151193727,1,1,3,3,2,3,3,3,3,2,1,98,2,3,5,2,2, ,1,2,2, ,2,2,2,98,1, , , , , , , , , , , ,2,1,1,2,1, ,3,2,1,2,2,2,1,2,1,2,1,2, ,2,1,2,2,2,2,2,2,2, , , ,1,1,1,1,1,1,2,2,2,2,1,2,4,5,1,1,1,1,1,1,1,1,1,6,1,98,2,2,1,2,99,98,98,98,2,98,2,98,98,99,3,3,3,3, ,70, , , , , ,1, , ,3, ,3,1,1,2, , , , ,2,2, , , ,1,1,1, , , , ,2,1,1, 
1300878,.480171265765559,1,1,1,3,3,3,3,3,1,2,1,2,1,3,8,2,2, ,2,2,2, ,2,2,1,1,1, , , , , , , , , , , ,3,2,2,2,2, ,3,2,2,2,2,2,2,2,2,2,2,2, ,2,1,1,2,2,2,2,3,2, , , ,1,1,1,1,1,2,1,2,2,2,2,2,1,2,2,1,1,2,2,2,2,2,2,6,1,2,1,2,1,2,1,1,2,2,2,2,2,1,2,3,3,2,2,3, ,999,5, , , , ,1, , ,0, ,2,1,4,4, , , , ,1,2, , , ,1,18,3, , , , ,1,1,3, 
1300918,2.04885655028292,1,1,2,4,3,3,3,2,1,2,3,2,2,1,8,1,2, ,2,1,2, ,2,2,1,1,2, , , , , , , , , , , ,98,2,2,99,1, ,1,2,2,2,2,2,2,2,2,2,2,2, ,2,1,1,2,2,2,1,2,2, , , ,2,2,2,2,2,2,2,2,2,2,2,2,5,4,2,1,1,2,2,2,1,2,2,7,2,1,2,2,1,2,1,2,2,2,1,4,2,4,2,2,4,4,3,4, ,76, , , , , ,1, , ,2, ,2,3,1,2, , , , ,1,1, , , ,1,16,3, , , , ,1,1,1, 
1300940,.296576292600112,1,1,3,1,3,3,3,1,1,3,2,2,2,3,8,1,2, ,2,2,2, ,2,2,1,1,1, , , , , , , , , , , ,2,2,2,2,1, ,3,2,2,2,2,2,2,2,2,2,2,2, ,2,2,1,2,2,2, ,3,1,1,1,3,1,1,1,1,2,1,2,2,2,1,2,2,4,5,2,1,1,2,1,2,1,2,2,7,1,1,2,2,2,2,1,2,2,2,2,2,4,3,3,2,3,3,3,3, ,79, , , , , ,1, , ,3, ,4,1,2,5, , , , ,2,2, , , ,1,16,3, , , , ,1,1,4, 
1300952,.346806744833286,1,1,1,3,3,3,3,1,3,4,1,3,3,3,1,1,2, ,2,1,1, ,1,1,1,1,1,2,1,1,1,2,2,2,2,1,2,2,1,2,2,1,8, ,2,2,1,2,1,2,1,2,2,2,1,2, ,2,1,1,2,2,2,1,2,2, , , ,2,2,2,2,2,2,2,2,2,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,2,2,2,1,2,2,2,2,2,2,4,3,2,4,3,3,3, ,84, , , , , ,1, , ,2, ,3,1,1,4, , , , ,2,2, , , ,1,10,3, , , , ,1,1,3, 
1300965,.37721052840657,1,1,3,1,3,3,3,2,3,3,1,2,1,1,2,2,1, ,2,1,1,1,2,1,1,1,1, , , , , , , , , , , ,1,1,1,2,2, ,2,2,2,1,2,2,2,1,2,1,2,2, ,2,2,1,2,2,2, ,2,2, , , ,2,2,2,2,2,1,2,2,2,1,2,98,5,99,2,1,1,1,1,1,1,1,2,4,2,1,2,2,3,2,1,2,99,1,1,2,1,2,1,2,4,1,4,4,4,80, , , , , ,1, , ,0, ,2,2,4,4, , , , ,1,2, , , ,1,9,2, , , , ,2,1,3, 
1300973,.96342509909778,1,1,1,1,2,1,2,2,3,3,1,1,1,1,2,2,1, ,2,2,2,1,2,1,1,1,1, , , , , , , , , , , ,2,2,2,1,2, ,3,2,2,2,2,2,2,2,2,1,2,2, ,2,1,2,2,2,2,2,3,2, , , ,1,1,1,1,2,2,2,2,2,2,2,2,5,5,2,2,2,2,2,2,2,2,2,5,2,1,2,2,1,2,1,2,2,2,1,2,2,2,2,2,3,2,2,3,4,73, , , , , ,1, , ,2, ,2,1,1,3, , , , ,1,2, , , ,1,8,2, , , , ,1,1,2, 
1300983,.296576292600112,1,1,2,3,3,3,3,2,3,3,3,1,2,1,8,1,2, ,2,2,1, ,2,2,2,2,2, , , , , , , , , , , ,4,2,2,3,1, ,1,2,2,2,2,2,2,2,2,2,2,2, ,2,1,1,2,2,2,1,4,1,1,1,3,1,1,1,1,2,2,2,2,2,2,2,2,5,5,2,1,1,2,1,1,1,2,2,7,2,2,2,2,1,1,1,1,1,1,1,2,1,3,2,1,4,4,4,4, ,77, , , , , ,1, , ,3, ,2,2,1,5, , , , ,2,2, , , ,1,14,3, , , , ,1,1,4, 
1300992,.298295921275114,1,1,3,3,3,3,3,2,3,4,1,2,1,1,8,1,2, ,2,2,2, ,2,2,1,1,1, , , , , , , , , , , ,4,2,2,2,2, ,3,2,2,2,2,2,2,2,2,2,2,2, ,2,1,2,2,2,2,2,2,2, , , ,1,1,1,1,2,2,2,2,2,2,2,2,3,4,2,2,2,2,2,2,2,2,2,7,2,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,3,2,2,4, ,64, , , , , ,1, , ,1, ,1,2,1,7, , , , ,1,2, , , ,1,11,3, , , , ,1,1,5, 
1301005,3.08461356091861,1,1,3,3,3,3,3,1,1,1,3,3,2,1,8,2,2, ,2,2,2, ,2,1,1,1,1, , , , , , , , , , , ,2,1,1,2,2, ,3,2,2,2,2,2,2,2,2,2,2,2, ,2,1,2,2,2,2,2,2,2, , , ,1,2,2,1,2,2,2,2,2,1,2,2,4,3,1,1,1,1,1,1,1,1,1,6,2,1,2,2,2,1,1,1,1,1,2,2,2,3,2,3,1,1,1,4, ,25, , , , , ,1, , ,0, ,4,1,4,7, , , , ,2,2, , , ,2,9,2, , , , ,1,1,5, 
1301038,.710222682950449,1,1,3,3,3,3,3,2,3,2,2,3,3,1,8,98,2, ,98,98,1, ,2,2,2,2,1, , , , , , , , , , , ,3,2,1,2,7, ,1,2,2,2,2,2,1,2,2,2,1,2, ,2,1,1,2,2,2,2,3,2, , , ,1,1,1,1,1,1,1,1,1,2,2,2,4,3,2,98,1,2,1,1,1,2,2,6,1,1,1,2,2,1,1,1,1,1,2,2,2,3,2,2,4,3,2,4, ,60, , , , , ,1, , ,2, ,4,3,1,4, , , , ,2,2, , , ,1,17,3, , , , ,2,1,3, 
1301039,.296576292600112,1,1,1,3,3,3,3,2,3,3,2,3,3,1,5,1,1, ,2,1,1,2,1,1,2,1,1, , , , , , , , , , , ,3,1,1,2,1, ,2,2,2,2,2,2,2,2,2,2,1,2, ,2,1,2,2,2,2,2,3,1,1,1,2,2,1,2,2,1,1,2,2,2,2,2,1,3,3,2,1,1,1,1,1,1,1,1,6,1,2,2,2,1,2,1,2,2,2,3,3,1,2,3,2,3,4,3,4, ,84, , , , , ,1, , ,2, ,1,1,5,4, , , , ,2,2, , , ,1,14,3, , , , ,1,1,3, 
